name,rank,net_worth,age,gender,country,state,city,category,self_made,title,source,position_change,cpi_country,cpi_change_country,gdp_country,gdp_change_country,gross_primary_enrlmt_country,gross_tertiary_enrlmt_country,life_expectancy_country,population_country,unemployment_rate_country,latitude_country,longitude_country
Emmanuel Besnier,71,22000,52,M,France,NA,Laval,Food & Beverage,FALSE,NA,Cheese,D,118.2582836,5.869362499999994,2796300000000,-170130000000,102.7205811,102.7205811,82.22926829,68065015,7.308,46.227638,2.213749
Abigail Johnson,72,21600,61,F,United States,Massachusetts,Milton,Finance & Investments,FALSE,CEO,Fidelity,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Leonid Mikhelson & family,72,21600,67,M,Russia,NA,Moscow,Energy,TRUE,NA,"Gas, chemicals",U,NA,NA,2266030000000,422640000000,101.1360703,101.1360703,72.54560976,144236933,3.867,61.52401,105.318756
Lukas Walton,74,21200,36,M,United States,Illinois,Chicago,Fashion & Retail,FALSE,NA,Walmart,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Wang Wei,74,21200,52,M,China,NA,Shenzhen,Service,TRUE,NA,Package delivery,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Jensen Huang,76,21100,60,M,United States,California,Los Altos,Technology,TRUE,CEO & President,Semiconductors,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Leonard Lauder,77,21000,90,M,United States,New York,New York,Fashion & Retail,FALSE,Chairman Emeritus,Estee Lauder,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Takemitsu Takizaki,77,21000,77,M,Japan,NA,Osaka,Manufacturing,TRUE,NA,Sensors,D,107.8396906,2.627878299999992,4256410000000,-778210000000,102.1587067,102.1587067,83.99634146,125124989,2.6,36.204824,138.252924
Alexey Mordashov & family,79,20900,57,M,Russia,NA,Moscow,Metals & Mining,TRUE,NA,"Steel, investments",U,NA,NA,2266030000000,422640000000,101.1360703,101.1360703,72.54560976,144236933,3.867,61.52401,105.318756
Vagit Alekperov,80,20500,72,M,Russia,NA,Moscow,Energy,TRUE,NA,Oil,U,NA,NA,2266030000000,422640000000,101.1360703,101.1360703,72.54560976,144236933,3.867,61.52401,105.318756
"Thomas Frist, Jr. & family",81,20200,84,M,United States,Tennessee,Nashville,Healthcare,TRUE,NA,Hospitals,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Andrew Forrest,82,19600,61,M,Australia,NA,Perth,Metals & Mining,TRUE,NA,Mining,U,132.4661811,8.194588999999993,1690860000000,134120000000,99.13298798,99.13298798,83.2,26014399,3.728,-25.274398,133.775136
Ray Dalio,83,19100,73,M,United States,Connecticut,Greenwich,Finance & Investments,TRUE,Founder & Co-Chief Investment Officer,Hedge funds,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Eric Li,84,19000,59,M,China,NA,Hangzhou,Automotive,TRUE,NA,Automobiles,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Wang Wenyin,84,19000,55,M,China,NA,Shenzhen,Metals & Mining,TRUE,NA,"Mining, copper products",U,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Eyal Ofer,86,18900,72,M,Monaco,NA,Monte Carlo,Diversified,FALSE,NA,"Real estate, shipping",U,NA,NA,8800430486,177187743,NA,NA,NA,38931,NA,43.750298,7.412841
Qin Yinglin,86,18900,57,M,China,NA,Nanyang,Food & Beverage,TRUE,NA,Pig breeding,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Wang Chuanfu,88,18700,57,M,China,NA,Shenzhen,Automotive,TRUE,NA,"Batteries, automobiles",D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Harold Hamm & family,89,18500,77,M,United States,Oklahoma,Oklahoma City,Energy,TRUE,Chairman and CEO,Oil & gas,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
David Tepper,89,18500,65,M,United States,Florida,Palm Beach,Finance & Investments,TRUE,President and Founder,Hedge funds,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Gennady Timchenko,89,18500,70,M,Russia,NA,Moscow,Energy,TRUE,NA,"Oil, gas",U,NA,NA,2266030000000,422640000000,101.1360703,101.1360703,72.54560976,144236933,3.867,61.52401,105.318756
Daniel Gilbert,92,18000,61,M,United States,Michigan,Franklin,Finance & Investments,TRUE,NA,Quicken Loans,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Lakshmi Mittal,93,17700,72,M,United Kingdom,NA,London,Metals & Mining,FALSE,Chairman and CEO,Steel,D,133.6600703,9.811355700000007,3114040000000,-29280000000,102.4061279,102.4061279,82.05853659,67791000,3.73,55.378051,-3.435973
Steve Cohen,94,17500,66,M,United States,Connecticut,Greenwich,Finance & Investments,TRUE,Founder,Hedge funds,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Carl Icahn,94,17500,87,M,United States,Florida,Indian Creek,Finance & Investments,TRUE,Founder,Investments,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Savitri Jindal & family,94,17500,73,F,India,NA,Hisar,Metals & Mining,FALSE,NA,Steel,D,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Donald Bren,97,17400,90,M,United States,California,Newport Beach,Real Estate,TRUE,Chairman,Real estate,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
"John Menard, Jr.",97,17400,83,M,United States,Wisconsin,Eau Claire,Fashion & Retail,TRUE,Founder,Home improvement stores,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Rupert Murdoch & family,99,17100,92,M,United States,New York,New York,Media & Entertainment,FALSE,Chairman and CEO,"Newspapers, TV network",D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Vicky Safra & family,100,16700,70,F,Switzerland,NA,Crans-Montana,Finance & Investments,FALSE,NA,Banking,U,102.2172818,2.817997550000001,818427000000,5018000000,101.3630676,101.3630676,83.45365854,8777088,4.122,46.818188,8.227512
"Theo Albrecht, Jr. & family",101,16500,72,M,Germany,NA,Mulheim an der Ruhr,Fashion & Retail,FALSE,NA,"Aldi, Trader Joe's",D,124.4897444,8.005468500000006,4163600000000,-184700000000,100.218132,100.218132,80.70560976,83797985,3.12,51.165691,10.451526
Renata Kellnerova & family,101,16500,55,F,Czech Republic,NA,Prague,Finance & Investments,FALSE,NA,"Finance, telecommunications",D,143.6122559,18.84070960000001,301831000000,10858000000,100.9753494,100.9753494,79.02926829,10672118,2.224,49.817492,15.472962
Li Xiting,103,16300,72,M,China,NA,Shenzhen,Healthcare,TRUE,NA,medical devices,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Stefan Persson,104,16200,75,M,Sweden,NA,Stockholm,Fashion & Retail,FALSE,Chairman,H&M,D,122.9571834,9.495904600000003,579896000000,-57291000000,116.4253922,116.4253922,83.1097561,10486941,7.392,60.128161,18.643501
Eric Schmidt,104,16200,67,M,United States,California,Atherton,Technology,TRUE,NA,Google,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Michael Platt,106,16000,55,M,Switzerland,NA,Geneva,Finance & Investments,TRUE,Founder,Hedge funds,U,102.2172818,2.817997550000001,818427000000,5018000000,101.3630676,101.3630676,83.45365854,8777088,4.122,46.818188,8.227512
Pang Kang,107,15900,67,M,China,NA,Foshan,Food & Beverage,TRUE,NA,Soy sauce,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Karl Albrecht Jr. & family,108,15800,NA,M,Germany,NA,NA,Fashion & Retail,FALSE,NA,Supermarkets,Split Family Fortune,124.4897444,8.005468500000006,4163600000000,-184700000000,100.218132,100.218132,80.70560976,83797985,3.12,51.165691,10.451526
Beate Heister,108,15800,NA,F,NA,NA,NA,Fashion & Retail,FALSE,NA,Supermarkets,Split Family Fortune,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jorge Paulo Lemann & family,108,15800,83,M,Switzerland,NA,Zurich,Food & Beverage,TRUE,"Investor, Philanthropist",Beer,U,102.2172818,2.817997550000001,818427000000,5018000000,101.3630676,101.3630676,83.45365854,8777088,4.122,46.818188,8.227512
Peter Woo,108,15800,76,M,Hong Kong,NA,Hong Kong,Real Estate,FALSE,NA,Real estate,D,139.6823609,2.579409799999979,358681000000,-10273000000,101.0810394,101.0810394,83.66097561,7346100,4.318,22.396428,114.109497
Dilip Shanghvi,112,15600,67,M,India,NA,Mumbai,Healthcare,TRUE,NA,Pharmaceuticals,E,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Robert Pera,113,15500,45,M,United States,California,San Jose,Technology,TRUE,Chief Executive Officer,Wireless networking,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Radhakishan Damani,114,15300,68,M,India,NA,Mumbai,Fashion & Retail,TRUE,NA,"Retail, investments",D,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
